Method,Model,Dataset,StrengthParam,Strength,Gamma,K,NSeeds,TPR@1%FPR,TPR@0.1%FPR,AUROC,PPL
KGW,Llama-2-7b,starcoderdata,delta,1.5,0.25,,3,0.7873±0.0081,0.4907±0.2607,0.9673±0.0133,6.54±0.26
KGW,Mistral-7B-v0.3,openwebmath,delta,1.5,0.25,,3,0.9553±0.0172,0.5960±0.4963,0.9931±0.0047,15.05±0.20
KGW,Mistral-7B-v0.3,fineweb2_ja,delta,1.5,0.25,,3,0.9947±0.0042,0.9800±0.0151,0.9998±0.0002,27.28±1.02
KGW,Mistral-7B-v0.3,starcoderdata,delta,1.5,0.25,,3,0.7689±0.0495,0.4137±0.1800,0.9737±0.0087,7.09±0.67
KGW + LLR,Llama-2-7b,openwebmath,delta,1.4,0.25,,3,0.9993±0.0012,0.9983±0.0015,1.0000±0.0000,15.36±0.48
KGW + LLR,Llama-2-7b,fineweb2_ja,delta,1.4,0.25,,3,1.0000±0.0000,0.9977±0.0006,1.0000±0.0000,17.75±1.34
KGW + LLR,Llama-2-7b,starcoderdata,delta,1.4,0.25,,3,0.9570±0.0087,0.9147±0.0064,0.9977±0.0006,6.57±0.32
KGW + LLR,Mistral-7B-v0.3,openwebmath,delta,1.4,0.25,,3,0.9967±0.0058,0.9877±0.0046,0.9998±0.0002,14.36±0.66
KGW + LLR,Mistral-7B-v0.3,fineweb2_ja,delta,1.4,0.25,,3,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,27.43±0.74
KGW + LLR,Mistral-7B-v0.3,starcoderdata,delta,1.4,0.25,,3,0.9665±0.0082,0.8682±0.0751,0.9984±0.0001,6.43±0.19
